Cód.,País ISO
000103,IT
000104,ES
000151,ES
000153,ES
000162,
000165,ES
000167,ES
000173,ES
000174,ES
000176,
000177,ES
000181,ES
000186,
000187,
000188,
000189,ES
000190,ES
000191,ES
000192,
000193,ES
000194,ES
000202,
000214,
000216,
000217,
000218,
000219,ES
000220,ES
000221,
000302,ES
000327,
000329,
000330,ES
000331,ES
000332,
000333,
000335,ES
000337,ES
000338,ES
000339,ES
000340,ES
000401,ES
000402,CA
000403,ES
000407,
000408,
000409,ES
000414,ES
000502,ES
000511,ES
000522,ES
000524,ES
000531,
000534,ES
000537,
000538,
000603,ES
000618,
000620,ES
000624,ES
000625,ES
000626,ES
000627,
000629,
000630,
000631,
000632,
000633,
000703,ES
000712,ES
000714,ES
000715,
000716,
000717,ES
000718,ES
000801,ES
000803,
000806,ES
000809,
000810,
000902,ES
000930,ES
000931,ES
000935,
000939,
000940,
000941,ES
001001,ES
001102,
001103,
001112,ES
001201,ES
001202,ES
001301,ES
001321,
001322,ES
001330,
001332,
001335,
001336,ES
001337,ES
001338,ES
001339,ES
001403,ES
001410,ES
001412,
001413,ES
001502,ES
001507,ES
001509,ES
001602,
001607,ES
001608,
001610,
001611,
001628,
001701,
001702,ES
001803,
001805,
001806,ES
001807,ES
001836,
001901,ES
001902,ES
001905,ES
001906,ES
001907,ES
001936,
001940,
001941,ES
001943,ES
001945,ES
001946,ES
001948,
001949,
001950,
001951,
001953,ES
001954,ES
002004,
002009,
002101,ES
002117,
002118,ES
002119,ES
002126,
002129,
002133,
002137,ES
002138,
002139,
002140,
002141,ES
002142,ES
002143,ES
002203,ES
002204,MX
002205,ES
002206,ES
002207,ES
003000,ES
003001,
003002,GQ
003003,ES
003004,ES
003005,ES
003006,ES
003007,ES
003008,
003009,ES
003010,ES
003011,ES
003012,
003013,ES
003014,ES
003015,ES
003016,ES
003017,ES
003018,ES
003019,ES
003020,RO
003021,
003022,ES
003023,ES
003024,ES
003025,NL
003026,ES
003027,ES
003028,
003029,PT
003030,ES
003031,
003032,ES
003033,ES
003034,ES
003035,ES
003036,MX
003037,
003038,
003039,ES
003040,ES
003041,ES
003042,ES
003043,
003044,ES
003045,GB
003046,ES
003047,ES
003048,
003049,
003050,
003051,
003052,ES
003053,RU
003054,ES
003055,ES
003056,
003057,
003058,ES
003059,
003060,ES
003061,
003062,RU
003063,ES
003064,ES
003065,
003066,
003067,
003068,
003069,ES
003070,ES
003071,ES
003072,ES
003073,ES
003074,ES
003075,ES
003076,BE
003077,FR
003078,ES
003079,ES
003080,ES
003081,ES
003082,ES
003083,ES
003084,ES
003085,ES
003086,
003087,ES
003088,ES
003089,
003090,
003091,
003092,ES
003093,ES
003094,
003095,ES
003096,ES
003097,ES
003098,DE
003099,ES
003100,
003101,GB
003102,ES
003103,
003104,US
003105,ES
003106,TR
003107,ES
003108,ES
003109,
003110,
003111,ES
003112,BE
003113,
003114,ES
003115,ES
003116,ES
003117,ES
003118,ES
003119,
003120,ES
003121,ES
003122,ES
003123,ES
003124,ES
003125,ES
003126,ES
003127,ES
003128,ES
003129,ES
003130,
003131,ES
003132,US
003133,BR
003134,ES
003135,ES
003136,ES
003137,ES
003138,ES
003139,ES
003140,MX
003141,DE
003142,ES
003143,
003144,CH
003145,
003146,ES
003147,CY
003148,ES
003149,ES
003150,
003151,ES
003152,
003153,
003154,FR
003155,ES
003156,ES
003157,
003158,ES
003159,FR
003160,CH
003161,ES
003162,FR
003163,ES
003164,ES
003165,ES
003167,ES
003168,ES
003169,ES
003170,ES
003171,US
003172,MX
003173,NO
003174,ES
003175,
003176,ES
003177,ES
003178,DE
003179,ES
003180,ES
003181,
003182,
003183,ES
003184,ES
003185,ES
003186,ES
003187,AE
003188,ES
003189,DE
003190,ES
003191,RU
003192,
003193,ES
003194,ES
003195,ES
003196,ES
003197,RU
003198,PT
003199,ES
003200,
003201,ES
003202,ES
003203,
003204,ES
003205,ES
003206,ES
003207,ES
003208,ES
003209,ES
003210,ES
003211,SE
003212,
003213,ES
003214,ES
003215,ES
003216,ES
003217,ES
003218,
003219,ES
003220,ES
003221,ES
003222,ES
003223,CA
003224,ES
003225,RO
003226,
003227,
003228,ES
003229,ES
003230,
003231,ES
003232,ES
003233,ES
003234,ES
003235,ES
003236,ES
003237,ES
003238,MX
003239,ES
003240,ES
003241,ES
003242,ES
003243,ES
003244,ES
003245,ES
003246,ES
003247,NL
003248,ES
003249,US
003250,ES
003251,ES
003252,MX
003253,RU
003254,FR
003255,
003256,ES
003257,ES
003258,MX
003259,ES
003260,ES
003261,MX
003262,NL
003263,FR
003264,BR
003265,ES
003266,NO
003267,US
003268,FR
003269,ES
003270,MX
003271,ES
003272,ES
003273,ES
003274,PT
003275,ES
003276,ES
003277,ES
003278,ES
003279,NO
003280,PL
003281,ES
003282,TR
003283,ES
003284,ES
003285,ES
003286,ES
003287,RO
003288,ES
003289,ES
003290,ES
003291,ES
003292,ES
003293,ES
003294,ES
003295,ES
003296,ES
003297,ES
003298,ES
003299,PT
003300,PT
003301,ES
003302,
003303,
003304,ES
003305,ES
003306,ES
003307,ES
003308,ES
003309,ES
003310,
003311,ES
003312,DE
003313,ES
003314,ES
003315,ES
003316,ES
003317,ES
003318,ES
003319,ES
003320,ES
003322,ES
003323,ES
003324,ES
003325,ES
003326,AE
003327,ES
003328,ES
003329,ES
003330,ES
003331,ES
003332,CH
003333,IT
003334,IT
003335,ES
003336,MX
003337,IT
003338,RO
